Freq_ax,HBQ,freq,dmso
1073.01848,816.65784,1073.01848,615.19799
1075.17747,724.21072,1075.17747,619.68443
1077.33646,742.65167,1077.33646,627.36528
1079.49545,790.09834,1079.49545,604.35318
1081.65444,736.5724,1081.65444,560.22278
1083.81344,755.16923,1083.81344,549.17422
1085.97243,777.97505,1085.97243,588.32024
1088.13142,691.98553,1088.13142,666.00025
1090.29041,741.8065,1090.29041,647.46716
1092.4494,694.95404,1092.4494,589.84771
1094.60839,739.04963,1094.60839,584.72033
1096.76738,690.96695,1096.76738,617.25427
1098.92637,802.97695,1098.92637,654.69135
1101.08536,844.12998,1101.08536,652.19711
1103.24435,732.31423,1103.24435,622.73354
1105.40334,700.37328,1105.40334,714.58452
1107.56234,758.3001,1107.56234,675.85186
1109.72133,659.85541,1109.72133,491.98262
1111.88032,681.32606,1111.88032,793.01519
